"Weekly Diphtheria Case reports for Detroit, MI"
"Data provided by Project Tycho, Data Version 1.0.0, released 28 November 2013."
YEAR,WEEK,DETROIT, MI
1916,1,58
1916,2,63
1916,3,59
1916,4,69
1916,5,78
1916,6,55
1916,7,49
1916,8,35
1916,9,63
1916,10,42
1916,11,61
1916,12,31
1916,13,41
1916,14,44
1916,15,62
1916,16,60
1916,17,79
1916,18,55
1916,19,59
1916,20,59
1916,21,74
1916,22,60
1916,23,54
1916,24,89
1916,25,80
1916,26,70
1916,27,52
1916,28,53
1916,29,46
1916,30,36
1916,31,39
1916,32,41
1916,33,32
1916,34,57
1916,35,31
1916,36,48
1916,37,50
1916,38,72
1916,39,80
1916,40,97
1916,41,93
1916,42,113
1916,43,101
1916,44,97
1916,45,120
1916,46,104
1916,47,118
1916,48,140
1916,49,109
1916,50,119
1916,51,126
1916,52,90
1917,1,92
1917,2,103
1917,3,102
1917,4,95
1917,5,96
1917,6,99
1917,7,91
1917,8,100
1917,9,-
1917,10,115
1917,11,105
1917,12,116
1917,13,114
1917,14,101
1917,15,92
1917,16,69
1917,17,111
1917,18,93
1917,19,72
1917,20,87
1917,21,85
1917,22,100
1917,23,75
1917,24,98
1917,25,97
1917,26,74
1917,27,77
1917,28,57
1917,29,60
1917,30,62
1917,31,38
1917,32,45
1917,33,57
1917,34,70
1917,35,50
1917,36,58
1917,37,64
1917,38,71
1917,39,86
1917,40,87
1917,41,120
1917,42,106
1917,43,114
1917,44,97
1917,45,75
1917,46,95
1917,47,90
1917,48,111
1917,49,10
1917,50,71
1917,51,62
1917,52,74
1918,1,72
1918,2,64
1918,3,72
1918,4,59
1918,5,68
1918,6,60
1918,7,69
1918,8,53
1918,9,50
1918,10,45
1918,11,35
1918,12,60
1918,13,51
1918,14,46
1918,15,43
1918,16,56
1918,17,53
1918,18,40
1918,19,49
1918,20,45
1918,21,34
1918,22,39
1918,23,55
1918,24,42
1918,25,42
1918,26,46
1918,27,33
1918,28,32
1918,29,52
1918,30,36
1918,31,36
1918,32,31
1918,33,27
1918,34,30
1918,35,-
1918,36,36
1918,37,36
1918,38,48
1918,39,-
1918,40,64
1918,41,87
1918,42,99
1918,43,68
1918,44,78
1918,45,44
1918,46,71
1918,47,86
1918,48,75
1918,49,84
1918,50,94
1918,51,90
1918,52,82
1919,1,90
1919,2,72
1919,3,89
1919,4,99
1919,5,90
1919,6,85
1919,7,77
1919,8,88
1919,9,84
1919,10,79
1919,11,76
1919,12,57
1919,13,71
1919,14,88
1919,15,73
1919,16,56
1919,17,67
1919,18,63
1919,19,50
1919,20,47
1919,21,62
1919,22,41
1919,23,43
1919,24,41
1919,25,46
1919,26,33
1919,27,33
1919,28,29
1919,29,33
1919,30,24
1919,31,35
1919,32,29
1919,33,42
1919,34,53
1919,35,58
1919,36,49
1919,37,55
1919,38,61
1919,39,56
1919,40,91
1919,41,61
1919,42,69
1919,43,98
1919,44,99
1919,45,115
1919,46,115
1919,47,107
1919,48,100
1919,49,105
1919,50,113
1919,51,80
1919,52,88
1920,1,107
1920,2,85
1920,3,68
1920,4,57
1920,5,97
1920,6,94
1920,7,88
1920,8,77
1920,9,84
1920,10,75
1920,11,91
1920,12,77
1920,13,75
1920,14,72
1920,15,98
1920,16,94
1920,17,66
1920,18,81
1920,19,83
1920,20,-
1920,21,84
1920,22,76
1920,23,87
1920,24,69
1920,25,79
1920,26,64
1920,27,48
1920,28,64
1920,29,64
1920,30,43
1920,31,55
1920,32,62
1920,33,56
1920,34,46
1920,35,39
1920,36,43
1920,37,69
1920,38,75
1920,39,80
1920,40,-
1920,41,118
1920,42,135
1920,43,107
1920,44,121
1920,45,131
1920,46,112
1920,47,109
1920,48,119
1920,49,155
1920,50,136
1920,51,128
1920,52,162
1921,1,136
1921,2,133
1921,3,125
1921,4,126
1921,5,123
1921,6,114
1921,7,110
1921,8,105
1921,9,114
1921,10,122
1921,11,80
1921,12,93
1921,13,91
1921,14,94
1921,15,111
1921,16,96
1921,17,105
1921,18,82
1921,19,84
1921,20,100
1921,21,89
1921,22,67
1921,23,81
1921,24,83
1921,25,64
1921,26,64
1921,27,39
1921,28,55
1921,29,39
1921,30,41
1921,31,44
1921,32,47
1921,33,54
1921,34,55
1921,35,44
1921,36,49
1921,37,44
1921,38,70
1921,39,73
1921,40,75
1921,41,100
1921,42,100
1921,43,119
1921,44,94
1921,45,116
1921,46,125
1921,47,112
1921,48,133
1921,49,119
1921,50,132
1921,51,-
1921,52,99
1922,1,80
1922,2,86
1922,3,98
1922,4,97
1922,5,73
1922,6,62
1922,7,58
1922,8,59
1922,9,48
1922,10,56
1922,11,58
1922,12,46
1922,13,48
1922,14,41
1922,15,45
1922,16,48
1922,17,34
1922,18,36
1922,19,52
1922,20,47
1922,21,55
1922,22,42
1922,23,37
1922,24,40
1922,25,29
1922,26,25
1922,27,32
1922,28,24
1922,29,13
1922,30,27
1922,31,33
1922,32,20
1922,33,24
1922,34,16
